sha256	patch	kind	dir	file	marker	label	note
e954f1e35a8fd2e0cc70fd6ee3805daa439208f28cff3499b06f2760c6de72f3	lvgl_draw_sdl_stride_fix.patch	+	LVGL_DIR	src/draw/sdl/lv_draw_sdl.c	*which is not supported in SDL as it renders into a user-provided	LVGL draw_sdl aligned stride fix	
4932a4c3472f0f96b851bdb842d0985dee9366c2b54793c65f0630b0c1748e60	lvgl_display_sync_cb.patch	+	LVGL_DIR	lv_conf_template.h	/** Define a custom attribute for `lv_display_sync_ready` function */	LVGL display sync callback patch (upstream 4170bcb)	
847c02197833f9e1288e185a8d450a1194facb17ee0e129d6a473d9e91169084	lvgl_obj_delete_null_guards.patch	+	LVGL_DIR	src/core/lv_obj.c	/* Telemetry hook provided by helix_lvgl_anomaly.cpp — reports LVGL anomalies	LVGL obj destructor NULL guard patch (obj_destructor_null telemetry)	
6d388271f69d938b55b9e1062a00967049dce57bfc6aa76607bd1d1badf64f9a	lvgl_obj_delete_async_dedup.patch	+	LVGL_DIR	src/core/lv_obj_tree.c	* (double-schedule, UAF near-miss) via TelemetryManager::record_error. */	LVGL obj delete async dedup patch (dedup + UAF guard + diagnostics)	
778722051f291d587ec053e175365487e15924f5b60729d4fb0267a252f56378	lvgl_obj_get_screen_cycle_guard.patch	+	LVGL_DIR	src/core/lv_obj_tree.c	* with backtrace + device context for remote crash diagnostics. */	LVGL obj_get_screen cycle guard patch (cap parent-walk depth to 128)	
0894f2171d5d4eb504cefc2d9524d8fb0caaf2d1b23b5932f4932b24978b7f51	lvgl_async_del_crumb.patch	+	LVGL_DIR	src/core/lv_obj_tree.c	/* Weak-extern hooks into crash_handler.cpp's breadcrumb ring. Record the	LVGL async-delete breadcrumb patch (#840/#906 sync+async diagnostic)	
35433c1fef818e72abade9e7451b0f7bf63175743c3795c488fca24fb02bb32c	lvgl_translation_warn_once.patch	+	LVGL_DIR	src/others/translation/lv_translation.c	/* Set once the "no pack registered for the selected language" warning has been	LVGL translation warn-once patch (missing-language warning once per language)	
7bc9877c4de19e2ceb1bd7f25cd2dfb340bfaae25c234142617be59191b19257	lvgl_label_text_transform.patch	+	LVGL_DIR	src/widgets/label/lv_label.c	void lv_label_set_text_transform_upper(lv_obj_t * obj, bool enable)	LVGL label text transform patch	
605431347f90cdbc74e49d800c4900d42ee6f538f862e24aa124e32fdc71e958	lvgl-sw-draw-wait-for-finish.patch	+	LVGL_DIR	src/draw/sw/lv_draw_sw.c	* Accessors for the fields `lv_draw_sw_thread_dsc_t` shares between a render	LVGL SW draw wait_for_finish + NULL guard patch (#739)	
bc17cafd88d352cc9037a9f2d8ce1f7b3b1e44c7c8b1989ad93c92dfbcd2715e	lvgl-image-cache-oversize-uncached.patch	+	LVGL_DIR	src/libs/bin_decoder/lv_bin_decoder.c	/*Larger than the cache can ever hold. decoder_data still owns the buffer, so	LVGL oversize-image uncached-draw patch (image larger than the cache draws instead of vanishing)	
7e0deb1330fea2a4d42ff7e5e1ebdc3041c7415d365ad2ae3a094d336afbf913	lvgl_lodepng_variable_sniff_guard.patch	+	LVGL_DIR	src/libs/lodepng/lv_lodepng.c	/* HelixScreen: only a source that declares itself encoded can be a PNG. A draw	LVGL lodepng variable-source sniff guard (#1673)	
d3eafd46bc2a52cf2acec1b583254ec1b96284bbb237ed0e47f196b08f2f8057	lvgl_event_crash_hook.patch	+	LVGL_DIR	src/core/lv_obj_event.c	/* HelixScreen crash diagnostic hook — records current event target/code so a	LVGL event crash-diagnostic hook patch	
62267034d39692e98cb64f113d8191304de017b56f9dc5e9d4d37c1c21fd9945	lvgl_event_mark_deleted_defensive.patch	+	LVGL_DIR	src/misc/lv_event.c	#include <stdio.h>	LVGL lv_event_mark_deleted defensive bail patch	
8ead3839cdb6d40a82565835229a79b215e5dd6df8a136b4373e9e027347bf2a	lvgl_event_pop_unwind_safe.patch	+	LVGL_DIR	src/core/lv_obj_event.c	/* HelixScreen: __cleanup__ pop fires on every scope exit including C++	LVGL event-pop unwind-safe patch (RPHAV9T7 / L081 root cause)	
11aa24d1a4b21b3539874a63de25d45b92effba62ec844899fbd086502d32e27	lvgl_indev_delete_cancels_anim.patch	+	LVGL_DIR	src/indev/lv_indev.c	/*HelixScreen: stop every animation still targeting this device. The	LVGL indev-delete animation cancel patch	
f39c80a7fb3e516557650ed1bfb4666e5b00bce2056a1d5fd6dfe5e6ae2be528	lvgl_event_dispatch_depth_guard.patch	+	LVGL_DIR	src/misc/lv_event.c	if(event_dispatch_depth > 0) event_dispatch_depth--;	LVGL event-dispatch-depth guard (cluster:pstat-async-delete / #906)	
db11d79780f02400caeb03a6950f9e203378fca0b75955a2b8e28ca3646421c8	lvgl_event_stack_array.patch	+	LVGL_DIR	src/core/lv_global.h	lv_event_t * event_header;          /**< HelixScreen: kept for ABI; superseded by event_stack */	LVGL #907 array-backed event stack (replaces e->prev linked list)	
d2699c642b5bfa9fb967088c8b7af1cb5a080980068b8714cae957724bd85e2e	lvgl_event_dispatch_cb_guard.patch	+	LVGL_DIR	src/core/lv_obj_event.c	/* HelixScreen 3XNZQB2R: pair the bare-pointer event hook with widget	LVGL dispatch-cb bounds gate + widget identity (3XNZQB2R)	
18b2f46fcdd7b089b5deabd8634c27b9dd30572be475d5e4dcfb8f86bf332b3d	lvgl_obj_event_null_guards.patch	+	LVGL_DIR	src/core/lv_obj_event.c	/* HelixScreen telemetry hook for conditions LVGL treats as unrecoverable and	LVGL obj-event NULL guards (VHTR49QJ — recoverable bail + telemetry)	
3f68ab9430c375948c61270848c0b6d4ed85e60214bd254dd9be37539053bae1	lvgl_style_null_guards.patch	+	LVGL_DIR	src/core/lv_obj.c	if(obj_style->style == NULL) continue;	LVGL style NULL guards patch (null style pointers in transitions/cache)	
6241f2b49cedce11d87fb699e9930547b1744959c9e6c2dbec0f12af11b2f707	lvgl_obj_flag_screen_parent_null_guard.patch	+	LVGL_DIR	src/core/lv_obj.h	/*lv_obj_add_flag/lv_obj_remove_flag tolerate a parentless object (a screen)*/	LVGL obj flag screen-parent NULL guard (hide/unhide a screen)	
002790ef1c41553c42db6cf1c51cfa22095e0a22b8e88552663f9cc67fadf2d8	lvgl_flex_hidden_grow_gap.patch	+	LVGL_DIR	src/layouts/flex/lv_flex.c	if(!first_item && lv_obj_has_flag(item, LV_OBJ_FLAG_FLEX_IN_NEW_TRACK))	LVGL flex hidden+grow gap fix (upstream #9897 backport)	
7d80c4b1f40cc4ddb2e874ca27afff14a412fb25e11d98d2565a62853693f6a4	lvgl_check_arg_backport.patch	+	LVGL_DIR	src/misc/lv_assert.h	/* HelixScreen: backported LV_CHECK_ARG (drop at lib/lvgl upgrade past v9.5.0) */	LVGL LV_CHECK_ARG backport patch (master macro for v9.5.0; drop at upgrade)	
58d290eec4f463938b2e39053785a487a337669b0d0054bf6370f96c1d90702e	lvgl_fbdev_arg_guards.patch	+	LVGL_DIR	src/drivers/display/fb/lv_linux_fbdev.c	/* Log the resolution after any bits_per_pixel correction so it reflects the value actually used */	LVGL fbdev arg-guard + log-order patch (uses backported LV_CHECK_ARG)	
b5aecc79a07790d1f9fdd5f33f5f0486542c0a7cec87cd47ab7e81bc690563d0	libhv-openssl-static-link.patch	+	LIBHV_DIR	Makefile	# Allow callers to force static-only outputs (used by cross builds that only	libhv OpenSSL/static build hook patch	
c1cd0dd6c74fb39fc5d618d8bcacacf02fcc3e8b6dac32619dc7eaba5f92111e	libhv-streaming-upload.patch	+	LIBHV_DIR	http/client/requests.h	// Internal helper for streaming file data through an established connection	libhv streaming upload patch	
065e2060665304d6af2c59ca63c034e5b676bf1d1c6155723473a4b20ba51bdb	libhv-dns-resolver-fallback.patch	+	LIBHV_DIR	base/dns_resolv.c	// SPDX-License-Identifier: GPL-3.0-or-later	libhv DNS resolver fallback patch	Without it embedded DNS resolution is broken.
77896c8ed20dff8ab58b1b4bc8d4e1d48878b5960414171f5fe5f6ba3abb7856	libhv-tcpclient-reconnect-resilience.patch	+	LIBHV_DIR	evpp/TcpClient.h	#include <atomic>	libhv TcpClient reconnect resilience patch	Without it a pending auto-reconnect can fault in createsocket() during teardown (#1212).
1c986954a39fe5f2082df6f5b07e74253f2294179e831adcc9e62250c6c8aef2	libhv-websocket-backoff-on-upgrade.patch	+	LIBHV_DIR	http/client/WebSocketClient.cpp	saved_reconn_cur_delay_ = 0;	libhv WebSocket backoff patch	Without it a failed WS upgrade reconnects at 5Hz.
4c677301ce26b02d2f97db8fe0fc8e64f1e6d81596116bc986d38055006c7c70	libhv-hthreadpool-wait-lock.patch	+	LIBHV_DIR	cpputil/hthreadpool.h	// PATCH NOTE(helixscreen): publish STOP under task_mutex. A worker	libhv HThreadPool locking patch	Without it wait() races a worker's pop_front() (nightly TSAN via ThumbnailProcessor::wait_for_completion), and stop() can lose its wakeup and stall 60s joining an idle worker.
c21ff249f6af7d39b5e861c9ef204fc05ff8fb2fe2574d9880f34d77b0e6f17b	libhv-hlog-thread-safe-localtime.patch	+	LIBHV_DIR	base/hlog.c	/* PATCH NOTE(helixscreen): libhv builds with -std=c99, which leaves glibc's	libhv hlog localtime_r patch	Without it every logging thread races on localtime()'s shared struct tm and tzset's TZ string (nightly TSAN, logger_print).
3feb9949ad27136f25802dc6029beb8777e0c16c61defd687b35977f9811ed4f	libhv-http-request-cancel-atomic.patch	+	LIBHV_DIR	http/HttpMessage.h	#include <atomic>	libhv HttpRequest cancel atomic patch	Without it CameraStream::stop() races the stream thread's ParseUrl() (nightly TSAN in HttpRequest::Cancel).
d01ed6990244ccce9cc8028764791d47167b85c14d915d39465b2fbd86f181ad	libhv-websocket-open-install-once.patch	+	LIBHV_DIR	http/client/WebSocketClient.cpp	// PATCH NOTE(helixscreen): install the TcpClient-level channel callbacks	libhv WebSocketClient install-once patch	Without it concurrent connect() corrupts the heap (SIGABRT free(): invalid next size).
